Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Source
0,0,0.398,0.073,0.47,4,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.659,0.081,0.74,4,3,1,4,1,0
1,0,0.008,0.001,0.009,2,3,1,1,1,0
2,0,0.004,0.0,0.004,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.183,0.132,0.315,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.175,0.121,0.296,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.268,0.096,0.364,4,3,1,4,1,0
1,0,0.001,0.001,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.28,0.075,0.354,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.482,0.057,0.539,3,3,1,4,1,0
1,0,0.07,0.001,0.071,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.547,0.057,0.604,4,3,1,4,1,0
1,0,0.086,0.001,0.087,4,3,1,1,1,0
2,0,0.004,0.0,0.004,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,4,1,0
0,0,0.734,0.064,0.797,4,3,1,4,1,0
1,0,0.008,0.001,0.009,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.195,0.072,0.268,4,3,1,4,1,0
1,0,0.036,0.001,0.036,2,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,4,1,0
0,0,0.193,0.076,0.269,4,3,1,4,1,0
1,0,0.001,0.001,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.002,0.0,0.002,3,3,1,4,1,0
0,0,0.229,0.11,0.339,4,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.308,0.0,0.308,3,3,1,3,1,0
1,0,0.005,0.0,0.005,3,3,1,1,1,0
2,0,0.001,0.0,0.001,3,3,1,2,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.376,0.082,0.458,4,3,1,3,1,0
1,0,0.02,0.001,0.021,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,2,1,0
3,1,0.005,0.0,0.005,2,3,1,2,1,0
0,0,0.461,0.196,0.657,4,3,1,4,1,0
1,0,0.046,0.002,0.048,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,2,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,1.277,0.078,1.355,4,3,1,4,1,0
1,0,0.003,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.007,0.0,0.007,2,3,1,2,1,0
0,0,0.952,0.071,1.023,3,3,1,3,1,0
1,0,0.003,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.012,0.0,0.012,2,3,1,1,1,0
0,0,0.405,0.128,0.533,3,3,1,4,1,0
1,0,0.002,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.609,0.173,0.782,4,3,1,4,1,0
1,0,0.003,0.002,0.005,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.346,0.0,0.346,3,3,1,4,1,0
1,0,0.011,0.0,0.011,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,2,1,0
0,0,0.423,0.0,0.423,4,3,1,4,1,0
1,0,0.01,0.0,0.01,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,4.488,0.0,4.488,2,3,1,2,1,0
1,0,0.007,0.0,0.007,4,3,1,1,1,0
2,0,0.0,0.0,0.0,2,3,1,2,1,0
3,1,0.016,0.0,0.016,2,3,1,1,1,0
0,0,0.664,0.0,0.664,3,3,1,2,1,0
1,0,0.011,0.0,0.011,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,2,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.419,0.0,0.419,3,3,1,3,1,0
1,0,0.009,0.0,0.009,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,1,1,0
3,1,0.007,0.0,0.007,3,3,1,4,1,0
0,0,0.451,0.0,0.451,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.026,0.0,0.026,4,3,1,5,1,0
0,0,0.36,0.0,0.36,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.028,0.0,0.028,4,3,1,5,1,0
0,0,0.262,0.0,0.262,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.025,0.0,0.025,4,3,1,5,1,0
0,0,0.4,0.0,0.4,3,3,1,3,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.019,0.0,0.019,4,3,1,4,1,0
0,0,0.407,0.0,0.407,3,3,1,4,1,0
1,0,0.005,0.0,0.005,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.009,0.0,0.009,4,3,1,4,1,0
0,0,0.245,0.0,0.245,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.022,0.0,0.022,4,3,1,5,1,0
0,0,0.29,0.0,0.29,3,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.035,0.0,0.035,4,3,1,5,1,0
0,0,0.442,0.0,0.442,4,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,4,3,1,4,1,0
0,0,0.407,0.0,0.407,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,2,1,0
3,1,0.013,0.0,0.013,4,3,1,4,1,0
0,0,0.235,0.0,0.235,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,2,1,0
3,1,0.011,0.0,0.011,4,3,1,5,1,0
0,0,0.144,0.0,0.144,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,2,1,0
3,1,0.008,0.0,0.008,4,3,1,5,1,0
0,0,0.364,0.0,0.364,3,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.018,0.0,0.018,4,3,1,5,1,0
0,0,0.283,0.08,0.363,3,3,1,4,1,0
1,0,0.005,0.0,0.006,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.009,0.0,0.009,3,3,1,2,1,0
0,0,0.252,0.039,0.29,3,3,1,4,1,0
1,0,0.002,0.0,0.003,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.37,0.037,0.407,3,3,1,4,1,0
1,0,0.003,0.0,0.003,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.557,0.03,0.587,4,3,1,4,1,0
1,0,0.003,0.0,0.003,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.061,0.007,0.068,4,3,1,4,1,0
1,0,0.0,0.0,0.0,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.394,0.037,0.43,4,3,1,4,1,0
1,0,0.002,0.0,0.003,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,4,1,0
0,0,0.408,0.099,0.506,3,3,1,4,1,0
1,0,0.002,0.001,0.003,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.007,0.0,0.007,4,3,1,4,1,0
0,0,0.479,0.091,0.57,3,3,1,4,1,0
1,0,0.003,0.001,0.004,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.007,0.0,0.007,3,3,1,4,1,0
0,0,0.45,0.093,0.543,3,3,1,4,1,0
1,0,0.007,0.001,0.008,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,4,1,0
0,0,0.321,0.071,0.392,3,3,1,4,1,0
1,0,0.005,0.0,0.006,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.028,0.0,0.028,4,3,1,4,1,0
0,0,0.468,0.058,0.526,3,3,1,4,1,0
1,0,0.038,0.0,0.038,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,4,1,0
0,0,0.469,0.063,0.532,3,3,1,4,1,0
1,0,0.027,0.0,0.027,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,4,1,0
0,0,0.445,0.074,0.519,3,3,1,4,1,0
1,0,0.032,0.0,0.033,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,4,1,0
0,0,0.401,0.049,0.449,3,3,1,4,1,0
1,0,0.012,0.0,0.013,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.01,0.0,0.01,4,3,1,4,1,0
0,0,0.539,0.059,0.598,4,3,1,4,1,0
1,0,0.007,0.0,0.007,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.443,0.06,0.504,4,3,1,4,1,0
1,0,0.045,0.0,0.046,4,3,1,1,1,0
2,0,0.002,0.0,0.002,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.316,0.066,0.382,4,3,1,4,1,0
1,0,0.004,0.0,0.005,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,4,1,0
0,0,0.215,0.061,0.277,3,3,1,4,1,0
1,0,0.002,0.0,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,4,1,0
0,0,0.429,0.1,0.529,3,3,1,4,1,0
1,0,0.004,0.001,0.005,3,3,1,1,1,0
2,0,0.001,0.0,0.001,4,3,1,4,1,0
3,1,0.008,0.0,0.008,4,3,1,4,1,0
0,0,0.188,0.043,0.231,3,3,1,4,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.008,0.0,0.008,4,3,1,4,1,0
0,0,0.194,0.045,0.239,3,3,1,4,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.092,0.01,0.102,3,3,1,4,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.169,0.035,0.204,3,3,1,4,1,0
1,0,0.002,0.0,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.164,0.045,0.208,3,3,1,4,1,0
1,0,0.002,0.0,0.003,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.221,0.051,0.272,3,3,1,3,1,0
1,0,0.001,0.0,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.022,0.0,0.022,3,3,1,2,1,0
0,0,0.284,0.117,0.4,3,3,1,3,1,0
1,0,0.002,0.001,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.01,0.0,0.01,3,3,1,2,1,0
0,0,0.173,0.17,0.343,3,3,1,3,1,0
1,0,0.001,0.001,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,0.279,0.095,0.374,3,3,1,4,1,0
1,0,0.002,0.001,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.116,0.089,0.205,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.002,0.0,0.002,3,3,1,2,1,0
0,0,0.517,0.043,0.56,3,3,1,3,1,0
1,0,0.003,0.0,0.003,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,0.356,0.062,0.418,3,3,1,3,1,0
1,0,0.002,0.0,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.241,0.028,0.269,3,3,1,3,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,0.434,0.25,0.685,3,3,1,3,1,0
1,0,0.002,0.001,0.003,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.258,0.921,1.179,3,3,1,3,1,0
1,0,0.001,0.005,0.006,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.354,0.251,0.605,3,3,1,3,1,0
1,0,0.002,0.002,0.003,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.007,0.0,0.007,3,3,1,3,1,0
0,0,0.119,1.901,2.02,3,3,1,3,1,0
1,0,0.001,0.009,0.01,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.002,0.0,0.002,3,3,1,3,1,0
0,0,0.11,0.82,0.93,3,3,1,4,1,0
1,0,0.004,0.004,0.008,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,4,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.225,0.047,0.272,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.341,0.061,0.401,3,3,1,3,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.23,0.075,0.304,3,3,1,3,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.015,0.0,0.015,4,3,1,4,1,0
0,0,0.271,0.089,0.359,3,3,1,3,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.015,0.0,0.015,4,3,1,4,1,0
0,0,0.766,0.07,0.836,3,3,1,4,1,0
1,0,0.003,0.001,0.004,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.917,0.095,1.012,3,3,1,4,1,0
1,0,0.003,0.001,0.004,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.818,0.056,0.874,3,3,1,4,1,0
1,0,0.003,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.523,0.034,0.557,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.418,0.056,0.474,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,2,1,0
0,0,0.423,0.05,0.474,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.48,0.172,0.652,3,3,1,3,1,0
1,0,0.002,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.389,0.059,0.448,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,3,1,0
0,0,0.312,0.052,0.364,3,3,1,4,1,0
1,0,0.001,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.23,0.033,0.263,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.003,0.0,0.003,3,3,1,2,1,0
0,0,0.593,0.057,0.649,4,3,1,3,1,0
1,0,0.016,0.0,0.017,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,0.903,0.039,0.942,4,3,1,4,1,0
1,0,0.007,0.0,0.007,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.648,0.033,0.682,4,3,1,4,1,0
1,0,0.005,0.0,0.005,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.754,0.076,0.829,4,3,1,4,1,0
1,0,0.011,0.001,0.012,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.704,0.03,0.734,4,3,1,4,1,0
1,0,0.009,0.0,0.01,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,1.386,0.127,1.513,3,3,1,3,1,0
1,0,0.005,0.001,0.006,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.91,0.0,0.91,2,3,1,1,1,0
0,0,1.227,0.069,1.296,4,3,1,4,1,0
1,0,0.003,0.001,0.004,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,2,1,0
0,0,0.926,0.085,1.011,3,3,1,4,1,0
1,0,0.003,0.001,0.004,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.011,0.0,0.011,2,3,1,2,1,0
0,0,0.974,0.034,1.008,4,3,1,4,1,0
1,0,0.006,0.0,0.007,3,3,1,1,1,0
2,0,0.001,0.0,0.001,3,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,2,1,0
0,0,0.948,0.041,0.989,4,3,1,4,1,0
1,0,0.005,0.0,0.006,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,2,1,0
0,0,0.624,0.017,0.641,4,3,1,3,1,0
1,0,0.003,0.0,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.617,0.058,0.675,3,3,1,3,1,0
1,0,0.001,0.0,0.002,4,3,1,1,1,0
2,0,0.001,0.0,0.001,2,3,1,1,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.138,0.018,0.156,4,3,1,4,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,2,1,0
0,0,0.224,0.032,0.256,4,3,1,2,1,0
1,0,0.0,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.003,0.0,0.003,3,3,1,3,1,0
0,0,0.159,0.293,0.451,3,3,1,3,1,0
1,0,0.001,0.001,0.002,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.002,0.0,0.002,3,3,1,4,1,0
0,0,0.098,0.045,0.144,3,3,1,3,1,0
1,0,0.001,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.007,0.0,0.007,2,3,1,2,1,0
0,0,0.045,0.056,0.101,3,3,1,3,1,0
1,0,0.0,0.0,0.001,3,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.001,0.0,0.001,3,3,1,3,1,0
0,0,0.302,0.035,0.337,3,3,1,4,1,0
1,0,0.001,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.187,0.01,0.197,4,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.014,0.0,0.014,3,3,1,2,1,0
0,0,0.284,0.05,0.334,3,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.009,0.0,0.009,3,3,1,4,1,0
0,0,0.202,0.188,0.39,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.3,0.016,0.315,4,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,2,1,0
0,0,0.411,0.053,0.464,3,3,1,4,1,0
1,0,0.002,0.0,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.02,0.0,0.02,3,3,1,4,1,0
0,0,0.368,0.024,0.392,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,2,1,0
0,0,0.437,0.047,0.484,3,3,1,4,1,0
1,0,0.002,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,2,1,0
0,0,0.224,0.012,0.236,3,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,2,3,1,2,1,0
0,0,0.522,0.069,0.592,3,3,1,4,1,0
1,0,0.002,0.0,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.009,0.0,0.009,3,3,1,3,1,0
0,0,0.183,0.03,0.213,3,3,1,4,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.071,0.0,0.071,4,3,1,4,1,0
0,0,0.247,0.013,0.261,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,3,1,0
0,0,0.03,0.005,0.035,3,3,1,3,1,0
1,0,0.0,0.0,0.0,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.008,0.0,0.008,3,3,1,3,1,0
0,0,0.313,0.126,0.439,3,3,1,4,1,0
1,0,0.001,0.001,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,0.315,0.071,0.386,3,3,1,3,1,0
1,0,0.001,0.0,0.002,4,3,1,1,1,0
2,0,0.0,0.0,0.0,4,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,2,1,0
0,0,0.181,0.021,0.202,3,3,1,3,1,0
1,0,0.001,0.0,0.001,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.007,0.0,0.007,3,3,1,2,1,0
0,0,0.438,0.226,0.664,3,3,1,4,1,0
1,0,0.002,0.002,0.004,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.004,0.0,0.004,3,3,1,3,1,0
0,0,0.677,0.13,0.808,3,3,1,3,1,0
1,0,0.002,0.001,0.003,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,3,1,0
3,1,0.006,0.0,0.006,3,3,1,3,1,0
0,0,5.612,0.099,5.711,3,3,1,2,1,0
1,0,0.004,0.001,0.005,4,3,1,1,1,0
2,0,0.0,0.0,0.0,3,3,1,4,1,0
3,1,0.005,0.0,0.005,3,3,1,2,1,0
0,0,1.201,0.11,1.311,3,3,1,3,1,0
1,0,0.002,0.001,0.003,4,3,1,1,1,0
